"background Color Outer","Taustaväri"
"Color Zoom Opacity","Läpinäkyvyys zoomatessa"
"Dialog Width","Ruudun leveys"
"Enable Quick View","Quick View käytössä"
"Left Button Next","Left Button Next"
"Left Button prev","Left Button prev"
"Loading","Ladataan..."
"Pagination Image Height","Sivunvaihtokuvakkeen korkeus"
"Pagination Image Width","Sivunvaihtokuvakkeen leveys"
"Product Image Height","Tuotekuvan korkeus"
"Product Image Width","Tuotekuvan leveys"
"Quick View Settings","Quick View asetukset"
"Slider Settings","Tuotekuvan asetukset"
"Top Button Prev And Next","Top Button Prev And Next"
"Zoom Height","Zoomaus ruudun korkeus"
"Zoom width","Zoomaus ruudun leveys"
