"""%s"" is not available in the requested quantity. %s of the items will be backordered.","Tuotetta ''''%s'''' ei ole saatavilla pyydettyä määrää. Tuotteista %s toimitetaan jälkitoimituksena."
"%s is available for purchase in increments of %s only.","%s myydään vain %s erissä."
"%s is not a correct comparsion method.","%s is not a correct comparsion method."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Huom!<strong> Nämä asetukset ovat käytettävissä vain ostoskorin yksittäisille tuotteille, ei koko ostoskorille."
"Add Minimum Qty","Lisää vähimmäismäärä"
"Allow Qty Below 0","Salli määräksi pienempi kuin 0"
"Allow Qty Below 0 and Notify Customer","Salli määräksi pienempi kuin 0 ja ilmoita asiakkaalle"
"Automatically Return Credit Memo Item to Stock","Palauta automaattisesti hyvitetyt tuotteet varastoon"
"Backorders","Jälkitoimitukset"
"By Fixed value","Kiinteällä arvolla"
"By Percentage","Prosenttiosuudella"
"Cannot specify product identifier for the order item.","Tuotteen tunnusta tilauksessa ei voi määrittää."
"Catalog Inventory","Luettelon varasto"
"Decrease Stock When Order is Placed","Vähennä varastosta kun tilaus on tehty"
"Display Out of Stock Products","Näytä varastosta loppuneet tuotteet"
"Display products availability in stock in the frontend","Näytä tuotteiden varastotilanne kaupan puolella"
"Enable Qty Increments","Erämyynti"
"In Stock","Varastossa"
"Index Product Stock Status","Indeksoi varaston tila"
"Inventory","Varasto"
"Inventory API","Varaston API"
"Inventory Section","Varasto -osio"
"Manage Stock","Varastonhallinta"
"Maximum Qty Allowed in Shopping Cart","Ostoskorin enimmäistuotemäärä"
"Minimum Qty","Vähimmäismäärä"
"Minimum Qty Allowed in Shopping Cart","Ostoskorin vähimmäistuotemäärä"
"Multi update product stock data","Multi update product stock data"
"No Backorders","Ei jälkitoimitusta"
"Not all products are available in the requested quantity","Kaikkia tuotteita ei ole saatavilla toivottua määrää."
"Notify for Quantity Below","Ilmoita kun 'Määrä alle'"
"Only X left Threshold","Vain X jäljellä -alaraja"
"Out of Stock","Ei ole varastossa"
"Product Stock Options","Tuotteiden varastoasetukset"
"Qty Increments","Erämyynnin määrä"
"Qty for Item's Status to Become Out of Stock","Määrä jolloin tuotteen saatavuudeksi merkitään 'Loppu varastosta'"
"Products will still be shown by direct product URLs.","Tuotteet näkyvät kuitenkin suoraan tuotteen URL-osoitteella."
"Retrieve stock data","Nouda varastotieto"
"Retrieve stock data by product ids","Nouda varastotieto tuotetunnuksilla"
"Rule price","Hintasääntö"
"Set Items' Status to be In Stock When Order is Cancelled","Aseta tuotteiden tilaksi 'Varastossa', kun tilaus perutaan"
"Some of the products are currently out of stock","Osa tuotteista on loppunut varastosta."
"Some of the products cannot be ordered in requested quantity.","Osaa tuotteista ei voida tilata toivottuja määriä."
"Some of the products cannot be ordered in the requested quantity.","Osaa tuotteista ei voida tilata toivottuja määriä."
"Stock Options","Varastoasetukset"
"Stock Status","Varaston tila"
"The maximum quantity allowed for purchase is %s.","Sallittu enimmäismäärä ostokselle on %s."
"The minimum quantity allowed for purchase is %s.","Vaadittu vähimmäismäärä ostokselle on %s."
"The requested quantity for ""%s"" is not available.","%s -tuotetta ei ole saatavilla toivomaasi määrää."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"The stock item for Product is not valid.","Tuotteen varastokohde ei ole kelvollinen."
"This product is available for purchase in increments of %s only.","Tämä tuote myydään vain %s erissä."
"This product is currently out of stock.","Tuote on tällä hetkellä varastosta loppu."
"This product is not available in the requested quantity. %s of the items will be backordered.","Tuotetta ei ole saatavilla toivottua määrää. Tuotteista %s  toimitetaan jälkitoimituksena."
"To Fixed Value","Kiinteään arvoon"
"To Percentage","Prosenttiosuuteen"
"Undefined product type.","Määrittelemätön tuotetyyppi."
"Update","Päivitä"
"Update product stock data","Päivitä tuotteen varastotieto"
"Update the Product","Päivitä tuote"
