"1 star","1 tähti"
"2 stars","2 tähteä"
"3 stars","3 tähteä"
"4 stars","4 tähteä"
"5 stars","5 tähteä"
"Add New Rating","Lisää uusi arvio"
"Assigned Options","Asetetut vaihtoehdot"
"Be the first to review this product","Kirjoita ensimmäinen arvostelu"
"Default Value","Oletusarvo"
"Delete Rating","Poista arvio"
"Edit Rating","Muokkaa arviota"
"ID","Tunniste"
"If you do not specify a rating title for a store, the default value will be used.","Jos et määritä arvion otsikkoa kaupalle, käytetään oletusarvoa."
"Manage Ratings","Arviot"
"New Rating","Uusi arvio"
"Option Label","Vaihtoehdon merkki"
"Option Title","Vaihtoehdon otsikko"
"Option Title:","Vaihtoehdon otsikko:"
"Please select one of each ratings above","Valitse jokin yllä olevista arvioista"
"Rating Information","Arvion tiedot"
"Rating Name","Arvion nimi"
"Rating Options","Arvion vaihtoehdot"
"Rating Title","Arvion otsikko"
"Rating Visibility","Arvion näkyvyys"
"Rating isn't Available","Arviota ei ole saatavilla."
"Rating with the same title","Arvio samalla otsikolla"
"Save Rating","Tallenna arvio"
"Sort Order","Järjestys"
"Visible In","Näkyvillä"
