"%d Review(s)","%d arvostelua"
"%s Review(s)","%s arvostelua"
"(Posted on %s)","(Lähetetty %s)"
"1 star","1 tähti"
"2 stars","2 tähteä"
"3 stars","3 tähteä"
"4 stars","4 tähteä"
"5 stars","5 tähteä"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Lisää uusi arvostelu"
"Add Your Review","Lisää arvostelu"
"Administrator","Ylläpitäjä"
"All Reviews","Kaikki arvostelut"
"All Reviews of Customer `%s`","Kaikki asiakkaan `%s` arvostelut"
"All Reviews of Product `%s`","Kaikki tuotteen `%s` arvostelut"
"Allow Guests to Write Reviews","Salli rekisteröitymättömien asiakkaiden kirjoittaa arvosteluja"
"Approved","Hyväksytty"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Are you sure?","Vahvista toiminnon suorittaminen"
"Average Customer Rating","Arvioiden keskiarvo"
"Average Customer Rating:","Arvioiden keskiarvo:"
"Back","Takaisin"
"Back to Main Product Info","Takaisin tuotteen perustietoihin"
"Back to My Reviews","Takaisin omiin arvosteluihin"
"Back to Product Reviews","Takaisin tuotteen arvosteluihin"
"Be the first to review this product","Kirjoita ensimmäinen arvostelu"
"Catalog Product Review View","Luettelon tuotearvostelunäkymä"
"Catalog Product Reviews List","Luettelon tuotearvostelujen luettelo"
"Created On","Lisätty"
"Customer","Asiakas"
"Customer My Account Product Reviews","Asiakkaan oma tili tuotearvostelut"
"Customer My Account Review Details","Asiakkaan oma tili arvostelujen lisätiedot"
"Customer Reviews","Asiakkaiden arvostelut"
"Customers Reviews","Asiakkaiden arvostelut"
"Delete","Poista"
"Delete Review","Poista arvostelu"
"Detailed Rating","Tarkennettu arvio"
"Edit Review '%s'","Muokkaa arvostelua '%s'"
"Guest","Vieras"
"How do you rate this product?","Miten arvioit tämän tuotteen?"
"ID","Tunniste"
"Manage Ratings","Arviot"
"My Product Reviews","Omat tuotearvostelut"
"My Recent Reviews","Viimeisimmät arvosteluni"
"Name","Nimi"
"Name in Store","Nimi kaupassa"
"New Review","Uusi arvostelu"
"Nickname","Nimimerkki"
"Nickname can't be empty","Nimimerkki ei voi olla tyhjä."
"Not Approved","Ei hyväksytty"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Vain rekisteröityneet asiakkaat voivat kirjoittaa arvosteluja. <a href=""%s"">Kirjaudu sisään</a> tai <a href=""%s"">rekisteröidy.</a>"
"Pending","Odottaa"
"Pending Reviews","Hyväksyntää odottavat arvostelut"
"Pending Reviews of Customer `%s`","Asiakkaan `%s` hyväksyntää odottavat arvostelut"
"Please select a product","Valitse tuote"
"Please select one of each of the ratings above","Valitse jokin yllä olevista arvioista"
"Posted By","Lähettänyt"
"Price","Hinta"
"Product","Tuote"
"Product Name","Tuotteen nimi"
"Product Rating","Tuotearvio"
"Product Rating:","Tuotearvio:"
"Product Review (submitted on %s):","Tuotearvostelu (lähetetty %s):"
"Product Reviews","Tuotearvostelut"
"Product SKU","Tuotenumero"
"Products Reviews","Tuotteiden arvostelut"
"Qty","Kpl"
"Rating:","Arvio:"
"Review","Arvostelu"
"Review (submitted on %s):","Arvostelu (lähetetty %s):"
"Review Details","Arvostelun lisätiedot"
"Review Form Fields Before","Arvostelulomakkeen kentät ennen"
"Review by <span>%s</span>","Arvostellut <span>%s</span>"
"Review can't be empty","Arvostelu ei voi olla tyhjä."
"Review summary can't be empty","Arvostelun yhteenveto ei voi olla tyhjä."
"Reviews and Ratings","Arvostelut ja arviot"
"SKU","Tuotenumero"
"Save Review","Tallenna arvostelu"
"Status","Tila"
"Submit Review","Lähetä arvostelu"
"Summary Rating","Arvion yhteenveto"
"Summary of Review","Arvostelun yhteenveto"
"Summary of Your Review","Lyhyt, ytimekäs yhteenveto"
"Title","Nimi"
"Type","Tyyppi"
"Unable to post the review.","Arvostelua ei voi lähettää."
"Update Status","Päivitä tila"
"View All Reviews","Näytä kaikki arvostelut"
"View Details","Näytä lisätiedot"
"Visible In","Näkyvillä"
"Websites","Sivustot"
"Write Your Own Review","Kirjoita arvostelu"
"You have submitted no reviews.","Arvosteluja ei ole."
"You're reviewing:","Arvosteltava tuote:"
"Your Rating:","Arviosi:"
"Your Review (submitted on %s):","Arvostelusi (lähetetty %s):"
"Your review has been accepted for moderation.","Arvostelu on lähetetty tarkastettavaksi."
