"Callforprice Upload","Kysy hinta nouto"
"Call for Price","Kysy hinta"
"Call For Price Module options","Kysy hinta asetukset"
"Call For Price Upload Values","Kysy hinta arvojen noutaminen"
"Click here to edit Call for price settings","Kysy hintaa asetukset"
"Enable Extension","Ota käyttöön"
"Excel .csv File","Excel .csv tiedoston tuonti"
"Ignore for customer groups","Älä käytä seuraavissa ryhmissä"
"Please Select..","Valitse"
"Please select .csv file with values","Valitse .csv -tiedosto joka sisältää tuotavat arvot."
"Show Add to Cart button","Näytä lisää ostoskoriin painike"
"Upload","Nouda tiedosto"
"Upload And Apply","Nouda ja ota käyttöön"
