"Add Recipient","Lisää vastaanottaja"
"Allow for Guests","Salli rekisteröitymättömille"
"An invalid email address for recipient was entered.","Vastaanottajan sähköpostiosoite on virheellinen."
"At least one recipient must be specified.","Vähintään yksi vastaanottaja täytyy antaa."
"Back","Takaisin"
"Catalog Product Email to a Friend","Luettelotuote Lähetä ystävälle"
"Email Address","Sähköpostiosoite"
"Email Address:","Sähköpostiosoite:"
"Email Templates","Sähköpostipohjat"
"Email to a Friend","Lähetä ystävälle"
"Email:","Sähköposti:"
"Enabled","Käytössä"
"Invalid Sender Information","Lähettäjän tiedot ovat virheelliset."
"Invalid sender email.","Lähettäjän sähköpostiosoite on virheellinen."
"Limit Sending By","Rajaa lähettäminen"
"Max Products Sent in 1 Hour","Tuotteiden enimmäislähetysmäärä tunnin sisällä"
"Max Recipients","Vastaanottajien enimmäismäärä"
"Maximum %d email addresses allowed.","Sallitaan enintään %d sähköpostiosoitetta."
"Message:","Viesti:"
"Name","Nimi"
"Name:","Nimi:"
"No more than %d emails can be sent at a time.","Enintään %d sähköpostia voidaan lähettää kerralla."
"Please define a correct Cookie instance.","Please define a correct Cookie instance."
"Please define a correct Product instance.","Please define a correct Product instance."
"Please define the correct Sender information.","Määrittele lähettäjän tiedot oikein."
"Recipient:","Vastaanottaja:"
"Remove Email","Poista sähköposti"
"Select Email Template","Valitse sähköpostipohja"
"Send Email","Lähetä sähköposti"
"Send product to a friend","Lähetä vinkki tuotteesta ystävälle"
"Sender:","Lähettäjä:"
"Some emails were not sent.","Joitain sähköposteja ei lähetetty."
"The link to a friend was sent.","Linkki ystävälle on lähetetty."
"The message cannot be empty.","Viestikohta ei voi olla tyhjä."
"The messages cannot be sent more than %d times in an hour","Viestejä ei voi lähettää enempää kuin %d tunnissa."
"The sender name cannot be empty.","Lähettäjän nimi ei voi olla tyhjä."
"There were some problems with the data.","Tietojen kanssa ilmeni ongelmia."
"You have exceeded limit of %d sends in an hour","Olet jo lähettänyt enimmäismäärän %d viestiä tunnissa."
