"%s","%s"
"-- Please Select --","-- Valitse --"
"Actions","Toiminnot"
"Add Layout Update","Lisää  sommitelma"
"Add New Widget Instance","Lisää uusi leijuke"
"All","Kaikki"
"All Pages","Kaikki sivut"
"All Product Types","Kaikki tuotetyypit"
"An error occurred during saving a widget: %s","Leijuketta %s tallennettaessa tapahtui virhe."
"Anchor Categories","Ankkuriluokat"
"Apply","Ota käyttöön"
"Assign to Store Views","Määritä kauppanäkymiin"
"Big Image","Suuri kuva"
"Block Reference","Lohko"
"CMS","CMS"
"Categories","Luokat"
"Choose...","Valitse..."
"Close","Sulje"
"Continue","Jatka"
"Default Template","Oletusmallipohja"
"Delete","Poista"
"Design Package/Theme","Ulkoasun paketti/teema"
"Display On","Näytetään"
"Export to:","Vie kohteeseen:"
"Frontend Properties","Kaupan puolen asetukset"
"Generic Pages","Yleiset sivut"
"Images","Kuvat"
"Insert Widget","Lisää leijuke"
"Insert Widget...","Lisää leijuke..."
"Layout Updates","Sommitelmat"
"Manage Widget Instances","Leijukkeet"
"New Instance","New Instance"
"New Widget Instance","Uusi leijuke"
"Next page","Seuraava sivu"
"Non-Anchor Categories","Ei-ankkuriluokat"
"Not Selected","Ei valittu"
"Open Chooser","Avaa valitsin"
"Page","Sivu"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Edellinen sivu"
"Products","Tuotteet"
"Remove Layout Update","Poista sommitelma"
"Save and Continue Edit","Tallenna ja jatka muokkausta"
"Select All","Valitse kaikki"
"Select Visible","Valitse näkyvät"
"Settings","Asetukset"
"Sort Order","Järjestys"
"Sort Order of widget instances in the same block reference","Leijukkeiden järjestys samassa lohkossa"
"Specific %s","Määritelty %s"
"Specified Page","Määritelty sivu"
"Template","Mallipohja"
"The information in this tab has been changed.","Tässä välilehdessä olevat tiedot ovat muuttuneet."
"The widget instance has been deleted.","Leijuke on poistettu."
"The widget instance has been saved.","Leijuke on tallennettu."
"This tab contains invalid data. Please solve the problem before saving.","Tämä välilehti sisältää virheellistä tietoa. Ratkaise ongelma ennen tallentamista."
"Thumbnail","Pienoiskuva"
"Total %d records found","Yhteensä %d tietuetta"
"Type","Tyyppi"
"Undefined Design Package or Theme.","Määrittelemätön ulkoasun paketti tai teema."
"Unselect All","Poista valinta kaikista"
"Unselect Visible","Poista valinta näkyvistä"
"View","Näytä"
"Widget","Leijuke"
"Widget ""%s""","Leijuke ''''%s''''"
"Widget ID","Leijukkeen tunniste"
"Widget Insertion","Widget Insertion"
"Widget Instance","Leijuke"
"Widget Instance Title","Leijukkeen otsikko"
"Widget Options","Leijukkeen asetukset"
"Widget Type","Leijukkeen tyyppi"
"Widget Type is not specified","Leijukkeen tyyppiä ei ole määritelty."
"Widget instance is not full complete to create.","Leijuke ei ole valmis lisättäväksi."
"Widgets","Leijukkeet (widgetit)"
"Wrong widget instance specified.","Leijuke on määritelty väärin."
"items selected","kohdetta valittuna"
"of %s pages","/ %s sivua"
"per page","/ sivu"
